ttt,crabID,sex,start_date,end_date,cw_start,cw_end,mass_start,mass_end,molt,molt_date,mort,mort_date,second_molt
A,101,M,8/7/2023,12/24/2023,36.6,42.0,18.3,34.1,1,11/2/2023,0,NA,0
B,102,M,8/7/2023,12/24/2023,38.4,47.9,NA,NA,1,8/30/2023,0,NA,0
B,103,M,8/7/2023,12/24/2023,38.7,51.4,31.0,51.4,1,9/27/2023,0,NA,0
B,104,M,8/7/2023,12/24/2023,38.7,50.2,29.2,50.2,1,9/20/2023,0,NA,0
A,201,M,10/6/2023,12/18/2023,39.8,52.1,24.3,56.7,1,11/22/2023,1,12/18/2023,0
A,105,F,8/7/2023,12/24/2023,40.1,52.1,27.9,64.4,1,9/11/2023,0,NA,0
A,106,F,8/7/2023,12/24/2023,40.9,50.2,35.4,61.8,1,9/25/2023,0,NA,0
B,107,F,8/7/2023,12/24/2023,43.0,56.0,39.7,88.2,1,10/1/2023,0,NA,0
B,108,F,8/7/2023,12/24/2023,43.2,57.1,39.6,79.3,1,9/20/2023,0,NA,0
A,109,M,8/7/2023,12/24/2023,43.9,54.7,42.6,67.8,1,9/19/2023,0,NA,0
B,202,F,10/15/2023,12/24/2023,44.3,55.9,44.4,80.1,1,11/2/2023,0,NA,0
B,110,F,8/7/2023,12/24/2023,44.4,58.4,NA,NA,1,8/16/2023,0,NA,0
A,111,M,8/7/2023,10/19/2023,44.5,54.4,NA,NA,1,8/9/2023,1,10/19/2023,0
A,203,F,10/9/2023,12/24/2023,44.6,58.1,45.7,87.4,1,11/2/2023,0,NA,0
B,204,F,10/6/2023,12/24/2023,46.1,64.2,50.6,107.1,1,11/2/2023,0,NA,0
A,112,F,8/7/2023,12/24/2023,46.2,57.8,NA,NA,1,9/2/2023,0,NA,0
B,113,M,8/7/2023,12/8/2023,46.6,59.9,52.4,97.7,1,9/25/2023,1,12/8/2023,0
A,114,F,8/7/2023,12/24/2023,46.9,54.5,47.0,69.6,1,11/7/2023,0,NA,0
B,205,M,10/6/2023,12/24/2023,47.6,64.5,56.9,120.0,1,11/25/2023,0,NA,0
B,115,F,8/7/2023,12/27/2023,48.2,61.7,54.9,100.1,1,10/9/2023,1,12/27/2023,0
B,116,M,8/7/2023,12/24/2023,48.3,61.1,NA,NA,1,8/22/2023,0,NA,0
A,206,M,10/6/2023,12/11/2023,48.6,NA,51.2,NA,0,NA,1,12/11/2023,0
B,207,F,10/6/2023,12/24/2023,48.8,63.7,61.1,122.4,1,11/20/2023,0,NA,0
A,208,M,10/6/2023,12/24/2023,48.8,NA,51.1,NA,0,NA,1,12/24/2023,0
A,117,M,8/7/2023,12/24/2023,49.3,64.5,57.4,87.8,1,10/31/2023,0,NA,0
A,209,F,10/6/2023,12/24/2023,49.7,NA,52.8,NA,0,NA,0,NA,0
A,210,F,11/15/2023,12/24/2023,51.4,NA,58.5,NA,0,NA,0,NA,0
B,118,F,8/7/2023,12/24/2023,51.8,63.4,65.6,107.6,1,10/15/2023,0,NA,0
A,119,M,8/7/2023,12/24/2023,51.8,64.6,70.3,124.9,1,9/17/2023,0,NA,0
A,120,F,10/17/2023,12/24/2023,52.7,NA,73.7,NA,0,NA,0,NA,0
B,212,M,10/6/2023,12/24/2023,53.3,66.5,65.1,120.2,1,10/11/2023,0,NA,0
A,121,F,8/7/2023,11/24/2023,53.4,65.4,70.4,118.8,1,11/6/2023,1,11/24/2023,0
