ttt,crabID,sex,molt
A,101,M,1
B,102,M,1
B,103,M,1
B,104,M,1
A,201,M,1
A,105,F,1
A,106,F,1
B,107,F,1
B,108,F,1
A,109,M,1
B,202,F,1
B,110,F,1
A,111,M,1
A,203,F,1
B,204,F,1
A,112,F,1
B,113,M,1
A,114,F,1
B,205,M,1
B,115,F,1
B,116,M,1
A,206,M,0
B,207,F,1
A,208,M,0
A,117,M,1
A,209,F,0
A,210,F,0
B,118,F,1
A,119,M,1
A,120,F,0
B,212,M,1
A,121,F,1
B,122,M,1
A,123,M,1
A,124,M,1
A,213,F,0
B,125,F,1
B,126,M,1
A,127,M,1
B,128,M,1
A,129,M,0
B,214,F,1
A,215,M,0
A,130,M,0
A,216,M,0
A,131,F,1
B,132,M,1
A,133,M,0
A,217,M,1
B,134,M,1
A,135,M,0
A,136,F,0
A,137,F,0
A,218,M,0
B,138,F,1
B,139,M,0
A,140,M,0
B,141,F,0
B,102,M,1
A,105,F,1
B,110,M,1
B,116,M,1
