ttt,crabID,sex,cw_start,cw_end,mass_start,mass_end,cw_diff,mass_diff,cw_percent,mass_percent
A,101,M,36.6,42,18.3,34.1,5.4,15.8,14.75409836,86.33879781
B,103,M,38.7,51.4,31,60.5,12.7,29.5,32.81653747,95.16129032
B,104,M,38.7,50.2,29.2,60.5,11.5,31.3,29.71576227,107.1917808
A,201,M,39.8,52.1,24.3,56.7,12.3,32.4,30.90452261,133.3333333
A,105,F,40.1,52.1,27.9,64.4,12,36.5,29.92518703,130.8243728
A,106,F,40.9,50.2,35.4,61.8,9.3,26.4,22.73838631,74.57627119
B,107,F,43,56,39.7,88.2,13,48.5,30.23255814,122.1662469
B,108,F,43.2,57.1,39.6,79.3,13.9,39.7,32.17592593,100.2525253
A,109,M,43.9,54.7,42.6,67.8,10.8,25.2,24.60136674,59.15492958
B,202,F,44.3,55.9,44.4,80.1,11.6,35.7,26.18510158,80.40540541
A,203,F,44.6,58.1,45.7,87.4,13.5,41.7,30.2690583,91.24726477
B,204,F,46.1,64.2,50.6,107.1,18.1,56.5,39.26247289,111.6600791
B,113,M,46.6,59.9,52.4,97.7,13.3,45.3,28.54077253,86.45038168
A,114,F,46.9,54.5,47,69.6,7.6,22.6,16.20469083,48.08510638
B,205,M,47.6,64.5,56.9,120,16.9,63.1,35.50420168,110.8963093
B,115,F,48.2,61.7,54.9,100.1,13.5,45.2,28.00829876,82.33151184
B,207,F,48.8,63.7,61.1,122.4,14.9,61.3,30.53278689,100.3273322
A,117,M,49.3,64.5,57.4,87.8,15.2,30.4,30.831643,52.96167247
B,118,F,51.8,63.4,65.6,107.6,11.6,42,22.39382239,64.02439024
A,119,M,51.8,64.6,70.3,124.9,12.8,54.6,24.71042471,77.66714083
B,212,M,53.3,66.5,65.1,120.2,13.2,55.1,24.76547842,84.6390169
A,121,F,53.4,65.4,70.4,118.8,12,48.4,22.47191011,68.75
B,122,M,53.5,71.6,75.5,152.1,18.1,76.6,33.8317757,101.4569536
B,125,F,57.5,76.6,99.9,191.6,19.1,91.7,33.2173913,91.79179179
A,127,M,60.5,76.3,107.1,195.1,15.8,88,26.11570248,82.16619981
B,128,M,60.6,77.4,113.7,219.3,16.8,105.6,27.72277228,92.87598945
B,214,F,60.9,77.6,90.4,168.5,16.7,78.1,27.42200328,86.39380531
B,132,M,64,83.2,129.4,254.6,19.2,125.2,30,96.75425039
A,217,M,64.6,82.7,136.4,254,18.1,117.6,28.01857585,86.2170088
B,138,F,70.5,91.3,185.1,320.2,20.8,135.1,29.5035461,72.98757428
B,102,M,47.9,61,53.3,114.3,13.1,61,27.34864301,114.4465291
A,105,F,52.1,65.4,64.4,117.8,13.3,53.4,25.52783109,82.91925466
B,110,M,58.4,73.6,91.7,167.5,15.2,75.8,26.02739726,82.6608506
B,116,M,61.1,73.4,87.6,169.8,12.3,82.2,20.1309329,93.83561644
