ttt,crabID,sex,start_date,molt,molt_date,time_to_molt
A,101,M,9/4/2023,1,11/2/2023,59
B,103,M,9/4/2023,1,9/27/2023,23
B,104,M,9/4/2023,1,9/20/2023,16
A,201,M,10/6/2023,1,11/22/2023,47
A,105,F,9/4/2023,1,9/11/2023,7
A,106,F,9/4/2023,1,9/25/2023,21
B,107,F,9/4/2023,1,10/1/2023,27
B,108,F,9/4/2023,1,9/20/2023,16
A,109,M,9/4/2023,1,9/19/2023,15
B,202,F,10/15/2023,1,11/2/2023,18
A,203,F,10/9/2023,1,11/2/2023,24
B,204,F,10/6/2023,1,11/2/2023,27
B,113,M,9/4/2023,1,9/25/2023,21
A,114,F,9/4/2023,1,11/7/2023,64
B,205,M,10/6/2023,1,11/25/2023,50
B,115,F,9/4/2023,1,10/9/2023,35
B,207,F,10/6/2023,1,11/20/2023,45
A,117,M,9/4/2023,1,10/31/2023,57
B,118,F,9/4/2023,1,10/15/2023,41
A,119,M,9/4/2023,1,9/17/2023,13
B,212,M,10/6/2023,1,10/11/2023,5
A,121,F,9/4/2023,1,11/6/2023,63
B,122,M,9/4/2023,1,10/5/2023,31
B,125,F,9/4/2023,1,11/8/2023,65
A,127,M,9/4/2023,1,10/21/2023,47
B,128,M,9/4/2023,1,10/24/2023,50
B,214,F,10/6/2023,1,10/17/2023,11
B,132,M,9/4/2023,1,11/19/2023,76
A,217,M,10/6/2023,1,12/8/2023,63
B,138,F,9/4/2023,1,10/23/2023,49
