ttt,crabID,sex,start_date,molt_date
B,403,F,3/21/2024,5/11/2024
A,407,F,3/21/2024,4/8/2024
B,412,M,3/21/2024,4/6/2024
A,413,F,3/21/2024,4/10/2024
A,416,F,3/21/2024,4/2/2024
C,417,F,3/21/2024,4/17/2024
C,422,F,3/26/2024,4/6/2024
B,501,M,3/22/2024,4/12/2024
A,602,M,3/21/2024,4/4/2024
C,603,M,3/21/2024,4/1/2024
A,607,M,3/21/2024,4/12/2024
B,609,M,3/21/2024,5/21/2024
A,611,M,3/21/2024,4/15/2024
B,614,M,3/21/2024,4/15/2024
C,503,M,3/24/2024,3/31/2024
A,620,M,3/21/2024,4/22/2024
A,623,M,3/21/2024,4/4/2024
B,624,M,3/21/2024,5/15/2024
A,625,M,3/21/2024,5/17/2024
A,626,M,3/21/2024,4/18/2024
B,627,M,3/21/2024,4/15/2024
C,628,M,3/21/2024,4/18/2024
B,629,M,3/21/2024,4/22/2024
B,631,M,3/21/2024,4/8/2024
A,633,M,3/21/2024,5/4/2024
C,634,M,3/21/2024,4/21/2024
C,635,M,3/21/2024,5/4/2024
A,702,M,4/15/2024,5/8/2024
A,703,M,4/15/2024,4/18/2024
A,704,M,4/15/2024,5/6/2024
B,706,M,4/15/2024,5/29/2024
C,707,M,4/15/2024,4/29/2024
C,709,M,4/15/2024,5/13/2024
C,710,M,4/15/2024,5/8/2024
B,711,M,4/15/2024,5/24/2024
B,713,M,4/18/2024,4/19/2024
B,714,M,4/19/2024,5/1/2024
A,715,M,4/23/2024,4/23/2024
A,716,M,4/23/2024,4/29/2024
B,718,M,4/23/2024,4/23/2024
C,719,M,4/23/2024,4/25/2024
B,801,M,5/6/2024,5/27/2024
C,802,M,5/6/2024,7/5/2024
C,808,M,5/17/2024,7/24/2024
