ttt,crabID,sex,start_date,end_date,cw_start,cw_end,mass_start,mass_end,molt,molt_date,mort,mort_date,second_molt,,start,end,days,CW,mass,,,
B,403,F,3/21/2024,7/28/2024,59.6,79,100.2,182.9,1,5/11/2024,0,NA,0,,80,131,51,32.6%,82.5%,,,
A,407,F,3/21/2024,4/12/2024,58.3,70,102.3,139.3,1,4/8/2024,1,4/12/2024,0,,80,98,18,20.1%,36.2%,,,
B,412,M,3/21/2024,4/25/2024,63.7,74.1,118.7,178.3,1,4/6/2024,1,4/25/2024,0,,80,96,16,16.3%,50.2%,,,
A,413,F,3/21/2024,7/3/2024,55.8,70.2,81.9,145.2,1,4/10/2024,1,7/3/2024,0,,80,100,20,25.8%,77.3%,,,
A,416,F,3/21/2024,4/21/2024,56,65.4,83.4,133.9,1,4/2/2024,1,4/21/2024,0,,80,92,12,16.8%,60.6%,,,
C,417,F,3/21/2024,7/10/2024,53.2,67.6,68,130.6,1,4/17/2024,1,7/10/2024,0,,80,107,27,27.1%,92.1%,,,
C,422,F,3/26/2024,4/6/2024,65.4,76.8,116.2,NA,1,4/6/2024,1,4/6/2024,0,,85,96,11,17.4%,,,,
B,501,M,3/22/2024,7/1/2024,55.4,69,75.6,132.6,1,4/12/2024,1,7/1/2024,0,,81,102,21,24.5%,75.4%,,,
A,602,M,3/21/2024,7/22/2024,49.2,61.8,61.6,107.4,1,4/4/2024,1,7/22/2024,0,,80,94,14,25.6%,74.4%,,,
C,603,M,3/21/2024,6/27/2024,49.5,58,58.5,89.7,1,4/1/2024,1,6/27/2024,0,,80,91,11,17.2%,53.3%,,,
A,607,M,3/21/2024,7/28/2024,51.2,64.1,68.9,120.2,1,4/12/2024,0,NA,0,,80,102,22,25.2%,74.5%,,,
B,609,M,3/21/2024,6/6/2024,52.2,68.2,85.2,147,1,5/21/2024,1,6/6/2024,0,,80,141,61,30.7%,72.5%,,,
A,611,M,3/21/2024,7/14/2024,52.9,67.4,62.5,95,1,4/15/2024,1,7/14/2024,0,,80,105,25,27.4%,52.0%,,,
B,614,M,3/21/2024,7/28/2024,53.7,69.6,80.9,141.2,1,4/15/2024,0,NA,0,,80,105,25,29.6%,74.5%,,,
C,503,M,3/24/2024,6/12/2024,50,60.8,53.5,83.7,1,3/31/2024,1,6/12/2024,0,,83,90,7,21.6%,56.4%,,,
A,620,M,3/21/2024,4/23/2024,54.2,NA,75,NA,1,4/22/2024,1,4/23/2024,0,,80,112,32,,,,,
A,623,M,3/21/2024,7/28/2024,54.3,64.9,80,123,1,4/4/2024,0,NA,0,,80,94,14,19.5%,53.8%,,,
B,624,M,3/21/2024,7/28/2024,54.7,68.8,79.6,117.4,1,5/15/2024,0,NA,0,,80,135,55,25.8%,47.5%,,,
A,625,M,3/21/2024,5/27/2024,54.7,64.7,67.1,108.1,1,5/17/2024,1,5/27/2024,0,,80,137,57,18.3%,61.1%,,,
A,626,M,3/21/2024,4/21/2024,55.2,NA,76.7,NA,1,4/18/2024,1,4/21/2024,0,,80,108,28,,,,,
B,627,M,3/21/2024,7/28/2024,55.2,66.9,78.6,130.1,1,4/15/2024,0,NA,0,,80,105,25,21.2%,65.5%,,,
C,628,M,3/21/2024,7/28/2024,55.3,70.8,78.3,150.7,1,4/18/2024,0,NA,0,,80,108,28,28.0%,92.5%,,,
B,629,M,3/21/2024,7/28/2024,55.7,71.6,88.8,158.6,1,4/22/2024,0,NA,0,,80,112,32,28.5%,78.6%,,,
B,631,M,3/21/2024,7/28/2024,58.2,70.8,77.4,130.1,1,4/8/2024,0,NA,0,,80,98,18,21.6%,68.1%,,,
A,633,M,3/21/2024,7/28/2024,59.3,77.9,81,189.1,1,5/4/2024,0,NA,0,,80,124,44,31.4%,133.5%,,,
C,634,M,3/21/2024,4/23/2024,57.9,NA,85.2,NA,1,4/21/2024,1,4/23/2024,0,,80,111,31,,,,,
C,635,M,3/21/2024,7/28/2024,58.2,73,87.3,168,1,5/4/2024,0,NA,0,,80,124,44,25.4%,92.4%,,,
A,702,M,4/15/2024,7/28/2024,48.7,59.9,55.6,89.6,1,5/8/2024,0,NA,0,,105,128,23,23.0%,61.2%,,,
A,703,M,4/15/2024,7/28/2024,42.8,54.3,38.6,67.6,1,4/18/2024,0,NA,0,,105,108,3,26.9%,75.1%,,,
A,704,M,4/15/2024,5/15/2024,48.6,62.4,48.3,87.1,1,5/6/2024,1,5/15/2024,0,,105,126,21,28.4%,80.3%,,,
B,706,M,4/15/2024,6/16/2024,55.8,71.5,87.9,163,1,5/29/2024,1,6/16/2024,0,,105,149,44,28.1%,85.4%,,,
C,707,M,4/15/2024,7/28/2024,46.4,56.7,48,77.7,1,4/29/2024,0,NA,0,,105,119,14,22.2%,61.9%,,,
C,709,M,4/15/2024,7/28/2024,47.2,62.9,46.1,97.3,1,5/13/2024,0,NA,0,,105,133,28,33.3%,111.1%,,,
