ttt,crabID,sex,start_date,end_date,cw_start,cw_end,mass_start,mass_end,molt,molt_date,mort,mort_date,second_molt
C,901,F,2/10/2025,,55,,84.7,,1,4/13/2025,0,,0
B,902,F,2/10/2025,,53,72,73.4,143.4,1,3/10/2025,0,,0
B,903,M,2/10/2025,,45,61,50.5,91.0,1,3/8/2025,0,,0
A,904,F,2/10/2025,3/28/2025,50,65,58.4,110.5,1,3/14/2025,1,3/28/2025,0
C,907,F,2/10/2025,,51,65,50.8,89.3,1,2/28/2025,0,,0
C,908,M,2/10/2025,,50,67,58.8,119.6,1,3/15/2025,0,,0
B,909,M,2/10/2025,4/19/2025,47,58,47.9,72.8,1,3/3/2025,1,4/19/2025,0
B,910,M,2/10/2025,4/15/2025,53,68,72.9,140.1,1,3/28/2025,1,4/15/2025,0
B,911,M,2/10/2025,,48,60,54.4,94.2,1,3/8/2025,0,,0
C,912,M,2/10/2025,,53,,70.0,,0,,0,,0
B,913,M,2/10/2025,,50,64,55.0,114.4,1,3/27/2025,0,,0
C,914,M,2/10/2025,4/9/2025,47,64,53.1,105.9,1,3/10/2025,1,4/9/2025,0
A,915,M,2/10/2025,,63,81,n/a,214.1,1,2/12/2025,0,,0
A,916,M,2/10/2025,4/9/2025,41,,33.1,,0,,1,4/9/2025,0
B,917,M,2/10/2025,4/1/2025,54,,68.4,,0,,1,4/1/2025,0
B,919,M,2/10/2025,,56,73,83.2,148.4,1,3/10/2025,0,,0
A,920,M,2/10/2025,,50,65,56.7,121.1,1,3/27/2025,0,,0
B,921,M,2/10/2025,,57,70,92.4,129.5,1,3/8/2025,0,,0
A,923,M,2/10/2025,,53,67,66.3,122.6,1,3/23/2025,0,,0
B,924,M,2/10/2025,,52,65,63.4,112.4,1,3/10/2025,0,,0
A,925,M,2/10/2025,,55,,83.4,,0,,0,,0
C,927,M,2/10/2025,,58,,76.2,,0,,0,,0
C,928,M,2/10/2025,4/17/2025,58,,94.5,,0,,1,4/17/2025,0
A,930,M,2/10/2025,,47,63,47.2,85.3,1,2/10/2025,0,,1
C,931,M,2/10/2025,4/17/2025,45,59,41.7,87.6,1,3/8/2025,1,4/17/2025,0
A,933,M,2/10/2025,4/4/2025,55,71,94.9,146.6,1,3/8/2025,1,4/4/2025,0
C,934,M,2/10/2025,4/4/2025,61,80,102.5,202.5,1,3/23/2025,1,4/4/2025,0
C,936,M,2/10/2025,4/17/2025,44,56,41.5,65.3,1,3/26/2025,1,4/17/2025,0
A,937,M,2/10/2025,,45,56,45.0,78.6,1,3/1/2025,0,,0
B,938,M,2/10/2025,,60,77,103.9,201.8,1,2/23/2025,0,,0
A,939,M,2/10/2025,,53,,68.2,,0,,0,,0
A,940,M,2/10/2025,4/13/2025,51,65,62.3,118.4,1,3/10/2025,1,4/13/2025,0
A,941,M,2/10/2025,,56,,80.8,,0,,0,,0
A,942,M,2/10/2025,,57,,87.9,,0,,0,,0
C,943,M,2/10/2025,,53,68,71.1,128.9,1,3/10/2025,0,,0
B,944,M,2/10/2025,4/17/2025,54,72,80.8,160.7,1,4/5/2025,1,4/17/2025,0
C,945,M,2/10/2025,4/4/2025,60,70,78.1,135.1,1,3/23/2025,1,4/4/2025,0
C,948,M,2/10/2025,,50,69,73.9,118.2,1,3/8/2025,0,,0
B,949,M,2/10/2025,,60,80,106.9,211.4,1,3/13/2025,0,,0
,,,,,,,,,,,,,
A,930,M,2/10/2025,,63,68,85.3,157.3,1,4/7/2025,0,,1
