,,Shapiro-Wilk p-values,,,,,,
Experiment,Variable, Group 1,Group 2,Group 3,Levene's p-value,Normality,Homogeneity,Test Used
Diet,Time to Molt,0.30,0.37,,0.39,Met,Met,t-test
Diet,Mass,0.02,0.25,,0.61,Violated,Met,Wilcoxon Rank Sum
Diet,Carapace Width,0.03,0.25,,0.26,Violated,Met,Wilcoxon Rank Sum
Photoperiod,Time to Molt,0.01,0.63,0.12,0.24,Violated,Met,Kruskal-Wallis
Photoperiod,Mass,0.00,0.95,0.21,0.56,Violated,Met,Kruskal-Wallis
Photoperiod,Carapace Width,0.15,0.90,0.06,0.15,Met,Met,ANOVA
Space,Time to Molt,0.79,0.11,0.30,0.32,Met,Met,ANOVA
Space,Mass,0.76,0.76,0.21,0.22,Met,Met,ANOVA
Space,Carapace Width,0.04,0.86,0.63,0.99,Violated,Met,Kruskal-Wallis
