crabID,ttt,any_flag,any_date
101,A,TRUE,TRUE
103,B,TRUE,TRUE
104,B,TRUE,TRUE
105,A,TRUE,TRUE
106,A,TRUE,TRUE
107,B,TRUE,TRUE
108,B,TRUE,TRUE
109,A,TRUE,TRUE
113,B,TRUE,TRUE
114,A,TRUE,TRUE
115,B,TRUE,TRUE
117,A,TRUE,TRUE
118,B,TRUE,TRUE
119,A,TRUE,TRUE
121,A,TRUE,TRUE
122,B,TRUE,TRUE
125,B,TRUE,TRUE
127,A,TRUE,TRUE
128,B,TRUE,TRUE
132,B,TRUE,TRUE
138,B,TRUE,TRUE
201,A,TRUE,TRUE
202,B,TRUE,TRUE
203,A,TRUE,TRUE
204,B,TRUE,TRUE
205,B,TRUE,TRUE
207,B,TRUE,TRUE
212,B,TRUE,TRUE
214,B,TRUE,TRUE
217,A,TRUE,TRUE
